gauge_id,sand_perc,sand_perc_missing,silt_perc,silt_perc_missing,clay_perc,clay_perc_missing,organic_perc,organic_perc_missing,bulkdens,bulkdens_missing,bulkdens_5,bulkdens_50,bulkdens_95,tawc,tawc_missing,tawc_5,tawc_50,tawc_95,porosity_cosby,porosity_cosby_missing,porosity_cosby_5,porosity_cosby_50,porosity_cosby_95,porosity_hypres,porosity_hypres_missing,porosity_hypres_5,porosity_hypres_50,porosity_hypres_95,conductivity_cosby,conductivity_cosby_missing,conductivity_cosby_5,conductivity_cosby_50,conductivity_cosby_95,conductivity_hypres,conductivity_hypres_missing,conductivity_hypres_5,conductivity_hypres_50,conductivity_hypres_95,root_depth,root_depth_missing,root_depth_5,root_depth_50,root_depth_95,soil_depth_pelletier,soil_depth_pelletier_missing,soil_depth_pelletier_5,soil_depth_pelletier_50,soil_depth_pelletier_95
11004,57.81,0.00,27.11,0.00,15.08,0.00,1.28,0.00,1.45,0.00,1.10,1.38,1.73,74.62,0.00,33.89,95.39,110.37,41.73,0.00,37.94,43.47,44.36,41.83,0.00,32.00,45.00,52.00,2.07,0.00,1.17,1.62,6.73,1.52,0.00,1.27,1.43,2.28,0.93,0.00,0.50,1.30,1.30,4.44,0.00,1.00,1.00,27.00
12001,64.31,2.31,20.66,2.31,15.03,2.31,7.38,2.31,1.31,2.31,0.28,1.54,1.73,82.40,2.31,33.89,43.42,235.65,40.81,2.31,37.94,39.87,43.82,45.96,2.31,32.00,38.00,81.00,2.20,2.31,1.15,3.81,6.73,1.78,2.31,1.34,2.10,3.13,0.71,2.31,0.30,0.50,1.30,1.34,0.00,0.00,1.00,2.00
12002,63.57,1.74,21.59,1.74,14.84,1.74,7.61,1.74,1.29,1.74,0.28,1.43,1.73,85.09,1.74,33.89,43.67,235.65,40.92,1.74,37.94,42.75,43.82,46.69,1.74,32.00,42.00,81.00,2.17,1.74,1.15,2.31,6.73,1.78,1.74,1.34,2.10,3.13,0.73,1.74,0.30,0.50,1.30,1.54,0.09,0.00,1.00,2.00
12005,50.73,0.92,24.78,0.92,24.49,0.92,18.52,0.92,0.85,0.92,0.28,0.28,1.73,148.36,0.92,33.89,235.65,235.65,42.39,0.92,37.94,43.60,45.57,61.78,0.92,32.00,81.00,81.00,1.38,0.92,0.52,1.15,6.73,2.00,0.92,0.53,3.13,3.13,0.94,0.92,0.30,1.30,1.30,0.92,0.00,0.00,1.00,1.00
12006,69.98,0.08,15.98,0.08,14.04,0.08,6.78,0.08,1.38,0.08,0.28,1.65,1.73,72.73,0.08,33.89,34.39,235.65,40.04,0.08,37.94,38.04,43.65,43.33,0.08,32.00,33.00,81.00,2.48,0.08,1.15,6.21,6.73,1.85,0.08,1.45,2.10,3.13,0.64,0.08,0.30,0.50,1.30,0.91,0.00,0.00,1.00,1.00
12007,64.03,7.27,19.36,7.27,16.60,7.27,8.70,7.27,1.28,7.27,0.28,1.59,1.73,86.19,7.27,33.89,43.42,235.65,40.79,7.27,37.94,39.80,43.65,47.04,7.27,32.00,37.00,81.00,2.08,7.27,1.15,4.20,6.73,1.83,7.27,1.45,2.10,3.13,0.67,7.27,0.30,0.50,1.30,0.85,0.00,0.00,1.00,1.00
12008,63.36,0.00,19.25,0.00,17.38,0.00,13.66,0.00,1.09,0.00,0.28,1.51,1.73,117.26,0.00,33.89,43.42,235.65,40.86,0.00,37.94,40.10,43.65,53.20,0.00,32.00,39.00,81.00,1.91,0.00,1.15,3.48,6.73,1.89,0.00,1.45,2.10,3.13,0.86,0.00,0.50,0.50,1.30,1.09,0.00,1.00,1.00,2.00
12009,47.20,0.00,26.89,0.00,25.91,0.00,24.73,0.00,0.59,0.00,0.28,0.28,1.65,186.44,0.00,33.89,235.65,235.65,42.84,0.00,38.04,43.60,43.64,70.39,0.00,33.00,81.00,81.00,1.28,0.00,1.15,1.15,6.21,2.28,0.00,1.51,3.13,3.13,1.12,0.00,0.50,1.30,1.30,0.98,0.00,1.00,1.00,1.00
13001,46.68,0.00,33.34,0.00,19.98,0.00,2.48,0.00,1.32,0.00,1.10,1.38,1.65,94.88,0.00,34.39,102.07,108.92,43.13,0.00,38.04,43.74,43.74,46.52,0.00,33.00,45.00,52.00,1.59,0.00,1.38,1.39,6.21,1.49,0.00,1.34,1.36,2.28,1.11,0.00,0.50,1.30,1.30,3.27,0.00,1.00,1.00,23.00
13004,61.53,1.86,25.27,1.86,13.20,1.86,4.94,1.86,1.32,1.86,0.28,1.43,1.65,67.49,1.86,33.89,49.67,235.65,41.28,1.86,38.04,42.75,43.82,45.33,1.86,33.00,42.00,81.00,2.23,1.86,1.15,2.31,6.21,1.78,1.86,1.34,2.10,3.13,0.60,1.86,0.30,0.50,1.30,0.92,0.00,0.00,1.00,1.00
13005,47.54,0.00,31.14,0.00,21.32,0.00,0.49,0.00,1.42,0.00,1.38,1.38,1.58,98.45,0.00,70.43,102.07,112.21,42.96,0.00,38.92,43.74,43.97,43.64,0.00,37.00,45.00,45.00,1.59,0.00,1.39,1.39,4.90,1.40,0.00,1.36,1.36,1.61,1.30,0.00,1.30,1.30,1.30,7.51,0.03,1.00,1.00,35.00
13007,48.18,0.00,31.65,0.00,20.17,0.00,7.86,0.00,1.14,0.00,0.28,1.38,1.65,109.14,0.00,33.89,102.07,235.65,42.91,0.00,38.04,43.64,43.74,52.01,0.00,33.00,45.00,81.00,1.55,0.00,1.15,1.39,6.21,1.68,0.00,1.36,1.51,3.13,0.99,0.00,0.50,1.30,1.30,6.00,0.00,1.00,1.00,39.00
13008,51.66,0.41,29.90,0.41,18.44,0.41,5.65,0.41,1.24,0.41,0.28,1.38,1.65,92.36,0.41,33.89,97.81,235.65,42.48,0.41,38.04,43.60,43.74,48.51,0.41,33.00,45.00,81.00,1.71,0.41,1.15,1.39,6.21,1.66,0.41,1.36,1.61,3.13,0.88,0.41,0.30,1.30,1.30,3.35,0.26,0.00,1.00,21.00
14001,47.29,0.00,31.00,0.00,21.72,0.00,0.61,0.00,1.40,0.00,1.36,1.38,1.51,95.72,0.00,70.43,102.07,112.21,42.98,0.00,40.10,43.74,44.36,44.19,0.00,40.00,45.00,47.00,1.59,0.00,1.17,1.39,3.42,1.41,0.00,1.27,1.36,1.64,1.27,0.00,1.30,1.30,1.30,7.66,0.57,1.00,1.00,50.00
14002,42.78,0.00,35.84,0.00,21.39,0.00,1.01,0.00,1.34,0.00,1.10,1.38,1.38,94.54,0.00,55.12,102.07,102.07,43.63,0.00,42.75,43.74,43.74,46.08,0.00,45.00,45.00,52.00,1.49,0.00,1.39,1.39,2.31,1.43,0.00,1.36,1.36,2.28,1.16,0.00,0.50,1.30,1.30,2.66,11.31,1.00,1.00,19.00
14005,43.61,0.00,36.62,0.00,19.76,0.00,1.19,0.00,1.32,0.00,1.10,1.38,1.38,91.06,0.00,55.12,102.07,102.07,43.57,0.00,42.75,43.74,43.74,46.39,0.00,45.00,45.00,52.00,1.55,0.00,1.39,1.39,2.31,1.45,0.00,1.36,1.36,2.28,1.10,0.00,0.50,1.30,1.30,3.20,0.00,1.00,1.00,18.00
15006,59.63,4.51,24.11,4.51,16.27,4.51,6.84,4.51,1.28,4.51,0.28,1.43,1.73,85.50,4.51,33.89,49.67,235.65,41.43,4.51,37.94,42.80,43.97,47.17,4.51,32.00,42.00,81.00,1.93,4.51,1.15,2.24,6.73,1.66,4.51,1.34,1.93,3.13,0.76,4.21,0.30,0.50,1.30,2.38,0.16,0.00,1.00,6.00
15007,56.40,5.89,25.13,5.89,18.47,5.89,10.53,5.89,1.13,5.89,0.28,1.38,1.73,100.77,5.89,33.89,55.12,235.65,41.81,5.89,37.94,43.60,45.57,52.07,5.89,32.00,45.00,81.00,1.66,5.89,0.52,1.84,6.73,1.67,5.89,0.53,2.10,3.13,0.76,5.67,0.30,0.50,1.30,1.07,0.00,0.00,1.00,2.00
15010,56.47,1.06,26.30,1.06,17.22,1.06,5.97,1.06,1.26,1.06,0.28,1.38,1.73,89.73,1.06,33.89,60.86,235.65,41.84,1.06,37.94,43.60,43.97,47.68,1.06,32.00,45.00,81.00,1.83,1.06,1.15,2.24,6.73,1.64,1.06,1.34,1.61,3.13,0.87,1.06,0.30,0.50,1.30,1.81,0.31,0.00,1.00,2.00
15011,56.53,7.59,24.45,7.59,19.02,7.59,10.96,7.59,1.13,7.59,0.28,1.43,1.65,101.49,7.59,33.89,49.67,235.65,41.77,7.59,38.02,42.80,45.57,52.09,7.59,33.00,42.00,81.00,1.70,7.59,0.52,1.84,6.21,1.83,7.59,0.53,2.10,3.13,0.74,7.13,0.30,0.50,1.30,1.01,0.00,0.00,1.00,2.00
15012,60.57,7.61,21.82,7.61,17.61,7.61,9.27,7.61,1.21,7.61,0.28,1.43,1.65,90.79,7.61,33.89,49.67,235.65,41.25,7.61,38.02,42.80,45.57,49.13,7.61,33.00,42.00,81.00,1.86,7.61,0.52,2.24,6.21,1.79,7.61,0.53,2.10,3.13,0.69,6.98,0.30,0.50,1.30,1.52,0.00,0.00,1.00,2.00
15013,56.03,0.54,28.79,0.54,15.18,0.54,1.32,0.54,1.44,0.54,1.17,1.38,1.73,72.56,0.54,34.39,60.86,102.07,41.98,0.54,37.94,43.64,43.74,42.07,0.54,32.00,45.00,50.00,2.01,0.54,1.39,1.84,6.73,1.48,0.54,1.36,1.45,2.10,0.87,0.54,0.30,0.70,1.30,1.22,0.00,0.00,1.00,2.00
15014,81.46,1.08,11.52,1.08,7.02,1.08,1.48,1.08,1.66,1.08,1.43,1.73,1.73,38.14,1.08,33.89,34.39,49.67,38.67,1.08,37.94,37.94,42.80,34.01,1.08,32.00,32.00,42.00,4.97,1.08,1.84,6.73,6.73,1.66,1.08,1.45,1.45,2.10,0.49,1.08,0.30,0.50,0.70,0.94,0.00,0.00,1.00,1.00
15016,54.93,6.24,24.29,6.24,20.78,6.24,12.03,6.24,1.08,6.24,0.28,1.17,1.73,111.32,6.24,33.89,60.86,235.65,41.93,6.24,37.94,43.60,45.57,53.91,6.24,32.00,50.00,81.00,1.49,6.24,0.52,1.84,6.73,1.57,6.24,0.53,1.98,3.13,0.83,6.10,0.30,0.50,1.30,1.04,0.00,0.00,1.00,2.00
15021,50.14,0.00,33.53,0.00,16.33,0.00,1.34,0.00,1.37,0.00,1.10,1.38,1.73,83.13,0.00,34.39,102.07,112.21,42.77,0.00,37.94,43.74,43.97,44.77,0.00,32.00,45.00,52.00,1.80,0.00,1.39,1.43,6.73,1.49,0.00,1.36,1.42,2.28,1.00,0.00,0.50,1.30,1.30,5.67,0.60,1.00,1.00,45.00
15023,76.59,0.99,16.54,0.99,6.87,0.99,1.73,0.99,1.58,0.99,1.10,1.73,1.73,43.97,0.99,33.89,34.39,89.89,39.37,0.99,37.94,37.94,43.64,36.70,0.99,32.00,32.00,52.00,4.11,0.99,1.84,6.73,6.73,1.59,0.99,1.45,1.45,2.28,0.55,0.99,0.30,0.50,1.30,1.15,0.00,1.00,1.00,2.00
15024,43.99,2.67,26.19,2.67,29.82,2.67,19.12,2.67,0.77,2.67,0.28,0.28,1.67,156.82,2.67,33.89,235.65,235.65,43.15,2.67,38.01,43.60,45.57,64.74,2.67,33.00,81.00,81.00,1.06,2.67,0.52,1.15,6.29,1.50,2.67,0.53,3.13,3.13,1.06,2.67,0.30,1.30,1.30,1.13,0.00,0.00,1.00,3.00
15025,70.76,1.51,19.89,1.51,9.35,1.51,2.23,1.51,1.50,1.51,1.10,1.65,1.73,49.38,1.51,33.89,37.70,108.92,40.11,1.51,37.94,38.04,43.74,39.19,1.51,32.00,34.00,52.00,3.20,1.51,1.38,6.18,6.73,1.67,1.51,1.36,1.57,2.28,0.56,1.29,0.30,0.50,1.30,1.01,0.00,0.00,1.00,1.00
15030,43.07,0.00,35.57,0.00,21.37,0.00,0.82,0.00,1.36,0.00,1.10,1.38,1.40,98.17,0.00,55.12,102.07,112.21,43.59,0.00,42.75,43.74,43.97,45.46,0.00,45.00,45.00,52.00,1.49,0.00,1.39,1.39,2.31,1.41,0.00,1.36,1.36,2.28,1.21,0.00,0.50,1.30,1.30,10.87,1.38,1.00,1.00,49.00
15039,57.34,6.51,23.99,6.51,18.68,6.51,11.36,6.51,1.15,6.51,0.28,1.43,1.65,102.52,6.51,37.70,49.67,235.65,41.67,6.51,38.02,42.80,43.60,51.67,6.51,34.00,42.00,81.00,1.91,6.51,1.15,1.84,6.18,2.09,6.51,1.61,2.10,3.13,0.65,6.51,0.30,0.30,1.30,0.88,0.00,0.00,1.00,1.00
16001,56.42,4.45,27.73,4.45,15.85,4.45,3.66,4.45,1.35,4.45,0.28,1.38,1.73,80.00,4.45,33.89,60.86,235.65,41.90,4.45,37.94,43.60,43.74,44.81,4.45,32.00,45.00,81.00,1.93,4.45,1.15,1.84,6.73,1.54,4.45,1.36,1.51,3.13,0.87,4.28,0.30,0.70,1.30,2.06,0.43,0.00,1.00,4.00
16003,56.38,2.29,25.41,2.29,18.21,2.29,8.90,2.29,1.17,2.29,0.28,1.38,1.65,96.84,2.29,33.89,55.12,235.65,41.82,2.29,38.04,43.60,45.57,50.54,2.29,33.00,45.00,81.00,1.71,2.29,0.52,2.24,6.21,1.71,2.29,0.53,2.10,3.13,0.80,2.58,0.30,0.50,1.30,0.93,0.00,0.00,1.00,1.00
16004,54.95,3.32,28.77,3.32,16.28,3.32,3.15,3.32,1.35,3.32,0.28,1.38,1.73,81.66,3.32,33.89,70.43,235.65,42.09,3.32,37.94,43.64,43.74,44.88,3.32,32.00,45.00,81.00,1.88,3.32,1.15,1.84,6.73,1.52,3.32,1.36,1.45,3.13,0.92,3.19,0.30,1.30,1.30,2.37,0.32,0.00,1.00,17.00
17001,54.97,3.65,28.81,3.65,16.22,3.65,6.09,3.65,1.21,3.65,0.28,1.37,1.65,90.34,3.65,33.89,60.86,235.65,42.09,3.65,38.04,43.60,43.83,49.34,3.65,33.00,45.00,81.00,1.85,3.65,1.15,2.24,6.21,1.73,3.65,1.34,2.10,3.13,0.88,3.65,0.50,0.50,1.30,1.07,2.73,1.00,1.00,1.00
17003,37.39,0.00,32.80,0.00,29.81,0.00,3.20,0.00,1.26,0.00,0.28,1.38,1.38,113.35,0.00,97.81,102.07,235.65,44.08,0.00,43.60,43.82,45.57,49.42,0.00,45.00,45.00,81.00,1.06,0.00,0.52,1.38,1.39,1.09,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,1.19,19.29,1.00,1.00,1.00
17004,39.76,0.00,33.30,0.00,26.93,0.00,3.35,0.00,1.27,0.00,0.28,1.37,1.38,113.11,0.00,95.48,108.92,235.65,43.86,0.00,43.60,43.82,45.57,48.61,0.00,45.00,45.00,81.00,1.21,0.00,0.52,1.34,1.38,1.26,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,5.64,5.90,1.00,1.00,27.00
17005,37.10,0.00,30.79,0.00,32.11,0.00,6.21,0.00,1.15,0.00,0.28,1.37,1.38,121.74,0.00,95.48,97.81,235.65,44.04,0.00,43.60,43.83,45.57,53.10,0.00,45.00,45.00,81.00,0.97,0.00,0.52,1.34,1.38,1.05,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,6.57,5.64,1.00,1.00,32.00
17015,46.24,0.00,39.53,0.00,14.23,0.00,2.13,0.00,1.24,0.00,1.10,1.17,1.38,76.36,0.00,55.12,60.86,102.07,43.40,0.00,42.75,43.64,43.74,48.52,0.00,45.00,50.00,52.00,1.80,0.00,1.39,2.24,2.31,1.60,0.00,1.36,1.51,2.28,0.84,0.00,0.50,0.50,1.30,8.26,0.00,1.00,1.00,50.00
17018,46.27,0.60,38.71,0.60,15.02,0.60,2.09,0.60,1.24,0.60,1.10,1.17,1.38,77.18,0.60,55.12,60.86,102.07,43.37,0.60,42.75,43.64,43.74,48.48,0.60,45.00,50.00,52.00,1.78,0.60,1.39,2.24,2.31,1.62,0.60,1.36,1.51,2.28,0.86,0.60,0.50,0.50,1.30,11.77,0.00,1.00,1.00,50.00
18001,48.14,0.00,30.05,0.00,21.81,0.00,5.94,0.00,1.22,0.00,0.28,1.38,1.65,104.47,0.00,33.89,102.07,235.65,42.85,0.00,38.04,43.74,45.57,49.52,0.00,33.00,45.00,81.00,1.43,0.00,0.52,1.39,6.21,1.44,0.00,0.53,1.36,3.13,1.06,0.00,0.50,1.30,1.30,1.48,0.00,1.00,1.00,2.00
18002,48.08,0.00,34.03,0.00,17.89,0.00,8.42,0.00,1.09,0.00,0.28,1.17,1.65,109.24,0.00,33.89,95.48,235.65,43.01,0.00,38.04,43.64,43.83,53.60,0.00,33.00,50.00,81.00,1.64,0.00,1.15,1.39,6.21,1.72,0.00,1.34,1.51,3.13,0.96,0.00,0.50,1.30,1.30,1.38,0.14,0.00,1.00,2.00
18003,49.39,6.98,25.13,6.98,25.48,6.98,11.24,6.98,1.07,6.98,0.28,1.38,1.65,120.62,6.98,33.89,102.07,235.65,42.54,6.98,38.02,43.60,45.57,54.54,6.98,33.00,45.00,81.00,1.28,6.98,0.52,1.39,6.21,1.47,6.98,0.53,1.98,3.13,1.01,6.59,0.30,1.30,1.30,1.17,0.35,0.00,1.00,2.00
18008,45.41,4.15,25.41,4.15,29.18,4.15,15.81,4.15,0.89,4.15,0.28,1.14,1.65,139.61,4.15,33.89,97.81,235.65,42.97,4.15,38.02,43.60,45.57,60.78,4.15,33.00,55.00,81.00,1.09,4.15,0.52,1.15,6.21,1.40,4.15,0.53,2.10,3.13,1.01,3.64,0.30,1.30,1.30,0.91,0.00,0.00,1.00,2.00
18010,51.28,0.92,28.65,0.92,20.07,0.92,5.70,0.92,1.26,0.92,0.28,1.38,1.65,104.15,0.92,33.89,102.07,235.65,42.47,0.92,38.04,43.74,43.97,48.20,0.92,33.00,45.00,81.00,1.64,0.92,1.15,1.39,6.21,1.61,0.92,1.34,1.42,3.13,1.07,0.92,0.50,1.30,1.30,7.43,0.00,1.00,1.00,50.00
18011,49.57,3.85,27.33,3.85,23.10,3.85,8.22,3.85,1.17,3.85,0.28,1.38,1.65,112.42,3.85,33.89,102.07,235.65,42.61,3.85,38.04,43.64,45.57,51.36,3.85,33.00,45.00,81.00,1.40,3.85,0.52,1.39,6.21,1.50,3.85,0.53,1.61,3.13,1.05,3.66,0.30,1.30,1.30,4.55,0.23,0.00,1.00,42.00
18014,51.01,0.00,35.42,0.00,13.57,0.00,5.34,0.00,1.16,0.00,0.28,1.17,1.65,82.18,0.00,33.89,60.86,235.65,42.75,0.00,38.04,43.60,43.83,50.69,0.00,33.00,50.00,81.00,1.93,0.00,1.15,2.24,6.21,1.81,0.00,1.34,2.10,3.13,0.79,0.00,0.50,0.50,1.30,1.63,4.46,1.00,1.00,2.00
18017,51.99,5.99,26.44,5.99,21.57,5.99,14.94,5.99,0.99,5.99,0.28,1.43,1.65,125.06,5.99,37.70,49.67,235.65,42.32,5.99,38.02,42.80,43.60,56.90,5.99,34.00,42.00,81.00,1.65,5.99,1.15,1.84,6.18,2.15,5.99,1.61,2.10,3.13,0.75,5.99,0.30,0.70,1.30,0.86,0.00,0.00,1.00,1.00
18018,58.85,2.92,19.35,2.92,21.80,2.92,13.96,2.92,1.07,2.92,0.28,1.14,1.73,123.21,2.92,34.39,97.81,235.65,41.34,2.92,37.94,43.60,45.57,54.79,2.92,32.00,55.00,81.00,1.42,2.92,0.52,1.15,6.73,1.38,2.92,0.53,1.45,3.13,0.94,2.92,0.50,1.30,1.30,0.83,0.00,0.00,1.00,1.00
19001,42.04,0.00,29.25,0.00,28.71,0.00,10.30,0.00,1.04,0.00,0.28,1.36,1.51,135.60,0.00,79.09,97.81,235.65,43.47,0.00,40.10,43.82,45.57,56.12,0.00,40.00,47.00,81.00,1.14,0.00,0.52,1.17,3.42,1.33,0.00,0.53,1.34,3.13,1.27,0.00,1.30,1.30,1.30,7.92,11.84,1.00,1.00,32.00
19006,57.65,0.00,20.39,0.00,21.96,0.00,6.30,0.00,1.29,0.00,0.28,1.51,1.73,98.12,0.00,33.89,89.89,235.65,41.50,0.00,37.94,40.10,45.57,47.46,0.00,32.00,40.00,81.00,1.48,0.00,0.52,3.42,6.73,1.27,0.00,0.53,1.45,3.13,1.04,0.00,0.50,1.30,1.30,1.28,21.56,1.00,1.00,2.00
19010,67.64,0.00,17.96,0.00,14.39,0.00,0.84,0.00,1.54,0.00,1.36,1.51,1.73,68.49,0.00,33.89,79.09,110.37,40.36,0.00,37.94,40.10,44.36,38.77,0.00,32.00,40.00,47.00,2.71,0.00,1.17,3.42,6.73,1.56,0.00,1.27,1.64,2.10,1.01,0.00,0.50,1.30,1.30,1.00,50.32,1.00,1.00,1.00
19017,41.54,0.00,29.66,0.00,28.81,0.00,5.64,0.00,1.19,0.00,0.28,1.37,1.51,116.68,0.00,79.09,95.48,235.65,43.53,0.00,40.10,43.83,45.57,51.36,0.00,40.00,45.00,81.00,1.13,0.00,0.52,1.34,3.42,1.18,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,8.94,13.42,1.00,1.00,32.00
19020,36.64,0.00,30.42,0.00,32.93,0.00,15.88,0.00,0.82,0.00,0.28,1.14,1.38,163.22,0.00,95.48,108.92,235.65,44.08,0.00,43.60,43.82,45.57,63.68,0.00,45.00,55.00,81.00,0.96,0.00,0.52,1.15,1.38,1.28,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,9.49,8.01,1.00,1.00,28.00
20002,48.21,0.00,29.29,0.00,22.49,0.00,0.54,0.00,1.41,0.00,1.36,1.37,1.51,93.30,0.00,79.09,95.48,110.37,42.82,0.00,40.10,43.83,44.36,43.88,0.00,40.00,45.00,47.00,1.58,0.00,1.17,1.34,3.42,1.40,0.00,1.27,1.34,1.64,1.30,0.00,1.30,1.30,1.30,12.45,0.00,1.00,1.00,49.00
20003,43.68,0.00,34.61,0.00,21.71,0.00,2.60,0.00,1.29,0.00,1.10,1.37,1.42,97.82,0.00,55.12,95.48,110.37,43.49,0.00,42.75,43.82,44.36,47.72,0.00,44.00,45.00,55.00,1.41,0.00,1.15,1.38,2.31,1.36,0.00,1.27,1.34,2.28,1.14,0.00,0.50,1.30,1.30,5.36,0.00,1.00,1.00,30.00
20007,57.16,0.00,25.23,0.00,17.61,0.00,2.51,0.00,1.36,0.00,1.10,1.38,1.65,76.83,0.00,33.89,79.09,108.92,41.73,0.00,38.04,42.75,45.57,44.61,0.00,33.00,45.00,55.00,1.73,0.00,0.52,2.31,6.21,1.36,0.00,0.53,1.52,2.28,0.94,0.00,0.50,1.30,1.30,2.89,0.00,1.00,1.00,20.00
2001,41.66,2.78,25.28,2.78,33.06,2.78,19.85,2.78,0.72,2.78,0.28,0.28,1.65,167.76,2.78,33.89,235.65,235.65,43.36,2.78,38.04,43.60,45.57,66.84,2.78,33.00,81.00,81.00,0.94,2.78,0.52,1.15,6.21,1.30,2.78,0.53,3.13,3.13,1.18,2.52,0.50,1.30,1.30,2.56,0.00,1.00,1.00,18.00
